YEAR,ID,HRS1,MARITAL,DIVORCE,SPWRKSTA,SPHRS1,CHILDS,AGE,EDUC,SPEDUC,SEX,RACE,RES16,REG16,RINCOME,REGION,PARTYID,SOCOMMUN,SOCFREND,SOCBAR,ROMANCE,LIVEWITH,HAPPROM,WILLWED1,WILLWED2,SPHMEWRK,FAIRHWRK,EARNMORE,FAMFINAN,EARNMORE,TRADMOD,SHARESEP,EMOTEOTH,CHLDIDEL,PREMARSX,MENBEN,WOMENBEN,CHLDBEN,ALLBEN,NOONEBEN,PARTNERS,MATESEX
1996,129,33,5,,,,0,23,13,97,1,1,3,2,10,2,5,,,,,,,,,,,,,,,,,,,,,,,,1,1
1996,130,43,1,2,5,,2,45,10,16,2,1,3,2,12,2,5,7,5,5,,,,,,,,,4,,,,,2,4,,,,,,1,1
1996,131,40,1,2,1,25,2,36,12,12,1,1,5,2,12,2,4,4,3,5,,,,,,3,1,1,,1,1,1,1,3,2,1,1,1,1,2,1,1
1996,132,20,1,2,1,40,2,41,12,14,2,1,6,2,9,2,1,2,4,3,,,,,,,,,2,,,,,2,1,,,,,,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,134,,1,2,1,40,3,50,12,12,2,1,3,2,,2,3,,,,,,,,,4,1,5,,5,1,1,2,,,1,1,1,1,9,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,137,,4,,,,1,30,12,97,2,1,1,2,11,2,3,4,5,7,,,,,,,,,,,,,,0,4,,,,,,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,139,,3,,,,3,46,14,97,2,1,3,2,,2,1,2,3,5,,,,,,,,,,,,,,9,2,,,,,,0,
1996,140,40,1,2,1,40,3,31,14,15,2,2,4,2,11,2,1,5,5,6,,,,,,4,1,4,,4,2,1,1,2,1,8,8,8,8,8,1,1
1996,141,40,3,,,,3,47,14,97,2,2,4,2,11,2,0,,,,2,,,,1,,,,,,2,1,2,,,1,1,1,1,2,0,
1996,142,40,5,,,,1,32,14,97,1,2,4,3,12,2,4,,,,2,,,,1,,,,,,2,1,2,,,8,8,8,8,8,3,1
1996,143,,5,,,,5,32,12,97,2,2,5,2,,2,4,,,,,,,,,,,,,,,,,,,,,,,,2,2
1996,144,44,3,,,,5,55,10,97,2,2,1,5,12,2,0,6,5,7,,,,,,,,,,,,,,4,2,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,147,38,5,,,,0,33,16,97,2,1,6,2,12,2,1,2,2,5,,,,,,,,,,,,,,3,3,,,,,,1,1
1996,148,,5,,,,0,23,15,97,1,1,6,0,10,2,1,,,,1,2,2,3,,,,,,,1,1,1,,,9,9,9,1,9,,
1996,149,35,5,,,,0,29,12,97,1,3,5,2,12,2,1,2,2,6,2,,,,1,,,,,,2,2,2,3,3,2,1,1,2,2,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,151,40,3,,,,3,37,14,97,2,3,5,2,11,2,1,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,153,60,1,2,1,60,2,50,18,16,2,2,5,6,12,2,1,5,5,7,,,,,,4,2,3,,3,2,2,2,2,3,1,2,8,8,8,1,1
1996,154,38,5,,,,0,33,14,97,1,2,5,2,12,2,3,5,3,7,2,,,,1,,,,,,2,1,1,3,1,2,2,1,2,2,2,1
1996,155,,2,2,,,6,78,12,97,1,2,5,5,99,2,0,5,6,7,,,,,,,,,,,,,,2,3,,,,,,2,2
1996,156,,5,,,,0,20,14,97,2,2,5,2,,2,1,7,3,7,1,2,1,1,,,,,,,2,1,2,2,3,2,2,1,2,2,,
1996,157,40,1,2,1,40,1,32,12,12,1,1,5,0,11,2,6,7,5,7,,,,,,3,1,3,,3,2,2,1,1,1,2,2,1,2,2,1,1
1996,158,70,3,,,,1,40,13,97,2,2,5,2,12,2,1,,,,1,2,2,4,,,,,,,2,1,2,,,1,2,1,2,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,160,,4,,,,1,45,11,97,2,2,5,2,,2,1,6,4,6,,,,,,,,,,,,,,0,4,,,,,,1,1
1996,161,40,3,,,,2,52,14,97,2,1,3,0,12,2,3,,,,2,,,,1,,,,,,2,1,2,,,2,2,1,2,2,0,
1996,162,70,1,2,7,,2,43,20,12,1,3,6,0,12,2,3,,,,,,,,,,,,1,,,,,,,,,,,,1,1
1996,163,24,1,1,1,50,2,46,18,18,2,1,5,2,13,2,1,,,,,,,,,,,,1,,,,,,,,,,,,,
1996,164,,1,2,1,55,0,58,13,16,2,1,5,0,,2,4,4,5,5,,,,,,,,,3,,,,,2,3,,,,,,1,1
